tomato,GLYMA_03G181300,GLYMA_04G025100,GLYMA_04G052600,GLYMA_06G025200,GLYMA_06G053000,GLYMA_11G145100,GLYMA_12G076700,GLYMA_13G140900,GLYMA_17G227200,GLYMA_17G257200
LOC101244985,0.377248727264761,0.5046649367968135,0.6989461958741658,0.5541961818686112,0.6512279065861515,0.429039469011351,0.311255513363106,0.4089778978261763,0.6337650930569596,0.7126277544019979
LOC101246083,0.7493625828117119,0.6521786624503148,0.2598617297875313,0.5063823402394492,0.3437479484114711,0.785501760586696,0.8091410130098204,0.6817995682450986,0.6113502805279047,0.2088040449194493
LOC101252798,0.4861649608899081,0.4843368692354263,0.541114539447449,0.4392289051873137,0.5176285475669533,0.3669070571050733,0.4446347682736902,0.4401897697983042,0.6585810461061283,0.6305510951772364
LOC101262778,0.5900245453478263,0.75022174200046,0.516026564650006,0.5304261610508051,0.6436610788342986,0.894036306279667,0.7719819446956349,0.8999330651982254,0.683235113722078,0.3369438169736184
LOG6,0.7700069720871894,0.6988413879333089,0.2950773532480733,0.5235227102372884,0.4262919725060732,0.8706263044965307,0.8807832916892411,0.7845261207787282,0.6790459738403256,0.1927363183470045
LOG7,0.4315803349545566,0.4207154991341211,0.5530716946235369,0.3996560604237325,0.4818436065698048,0.3312375480152302,0.4225057911314333,0.3810818415050955,0.5299014758198246,0.6257482228457479
LOG8,0.6517320186619484,0.7098232716011663,0.443444021656593,0.5698013188990501,0.5240114193652596,0.9237410496552332,0.9280891498882964,0.8804796172300591,0.5149836394901501,0.1629517560858395
TLOG1,0.3553723995105459,0.530343619441344,0.7796882508386774,0.5629294460480144,0.7016774804771233,0.4296995923317636,0.3589268881197581,0.4806262686154147,0.5457580279902317,0.8290317988051686
