arabidopsis,Zm00001d014016,Zm00001d032688,Zm00001d038862,Zm00001d043692
AT2G28305,0.3496956183602665,0.6931562461653684,0.6202512642545248,0.3149608435353073
AT2G37210,0.7460077991697895,0.4639994977568635,0.4869100081139441,0.704172508769946
AT3G53450,0.7378084846712728,0.4199899548409002,0.6587130059330439,0.8188913746351634
AT4G35190,0.6604606987845851,0.5343014221863499,0.7818348152713872,0.6700135983236208
AT5G03270,0.5479124026363122,0.5407222114018917,0.6308991290002,0.4538768752749033
AT5G06300,0.5499207208343497,0.4783057556977116,0.6928448236802413,0.6339409381303587
AT5G11950,0.5931793028843886,0.7073150981236429,0.729921474376191,0.6831880899110031
