arabidopsis,GLYMA_03G181300,GLYMA_04G025100,GLYMA_04G052600,GLYMA_06G025200,GLYMA_06G053000,GLYMA_11G145100,GLYMA_12G076700,GLYMA_13G140900,GLYMA_17G227200,GLYMA_17G257200
AT2G28305,0.4628352466781723,0.6785276191185778,0.629159847225585,0.5669071146879174,0.7076287783632368,0.8487645828506893,0.8049017200649087,0.8627975675894926,0.6799648478253073,0.4038381111748703
AT2G37210,0.6805374501268628,0.3726809732976779,0.2094225900658011,0.3439638866727665,0.2257751886641468,0.3062952299303804,0.3799475393337885,0.3007247514369202,0.440001575391566,0.3124147549470729
AT3G53450,0.5303191405257932,0.3767466080347846,0.4350465185165901,0.4485097675065003,0.456701565070074,0.2861853773306118,0.3617394601281242,0.3557293137735614,0.5424834367833838,0.5524397915749764
AT4G35190,0.3765509224084135,0.4461949053315902,0.793073135524826,0.4806531630535932,0.7821141555434714,0.2782011367622481,0.2136729469257929,0.3231139412974629,0.462041709686964,0.7719023321260979
AT5G03270,0.7309478618327089,0.5775271159832374,0.3107069096605627,0.4927869185700202,0.3660659218970856,0.7109679822008319,0.583201469592461,0.6682722179457705,0.5389655591317848,0.3212851068866796
AT5G06300,0.3789764992781791,0.5565172707962152,0.7011072992548568,0.6034087678577931,0.7436019893702499,0.3275309881284337,0.2892504321347486,0.4409566329846901,0.5642319277365923,0.7928605288017365
AT5G11950,0.4442774340923303,0.6117988057921285,0.584521906793804,0.5020837891324026,0.7012865306015681,0.5718743206457875,0.6077696704831159,0.6005487844617894,0.7685480376774053,0.50987934643062
