arabidopsis,Os01g0708500,Os03g0109300,Os05g0541200,Os10g0479500
AT2G28305,0.3945906406627513,0.760389354822296,0.8117867595460213,0.3780574115411534
AT2G37210,0.4888072899754681,0.5428764688509533,0.6072124744798792,0.7655281565779806
AT3G53450,0.7182216050754757,0.6319237218732658,0.6334943279448975,0.6179221808082485
AT4G35190,0.6720876616232624,0.7553405961547577,0.6861571987221812,0.3694430476865637
AT5G06300,0.7597881082941051,0.6500996283748028,0.6297055120912467,0.429038072217773
AT5G11950,0.7125906106324611,0.8429942519267211,0.732325151710252,0.621684668621771
