,LOG8
LOC101249350,0.6224823402389346
LOC101247622,0.6222577651086513
LOC104645444,0.6215492301719646
LOC101262900,0.6211996291395878
LOC101265812,0.6210434543029716
LOC104645148,0.6208540556231155
LOC101246947,0.6202664009883819
LOC101264563,0.6199406740581354
LOC101261052,0.6196828160424941
DXR,0.6196516080658534
LOC101259872,0.6193175098067376
LOC101245177,0.6192117991118083
LOC101268394,0.6190624520744058
LOC101250878,0.6189145726553642
LOC101247900,0.6187962649028368
GBSS1,0.6183858884445993
LOC101249750,0.6183253913601517
LOC109120519,0.6182603902055621
LOC101267629,0.6181968946249806
LOC101253219,0.6180759468463212
rbcS1,0.6179851991110028
LOC101249251,0.6177940629059607
LOC101252000,0.6176751141247239
LOC101247416,0.6176458123650347
LOC101243677,0.6176326797110808
LOC101260026,0.6174457059753554
LOC101266005,0.6173691620867028
LOC101266329,0.6170963706325095
LOC101259835,0.6167197704830445
LOC101262255,0.6166935473480779
PDF1A,0.6165106348666101
LOC101260852,0.6164630637887036
LOC101261814,0.6164274318705093
LOC101245299,0.6164201612554109
LOC101252496,0.616391829473374
GSH2,0.6163296412539762
LOC101256243,0.6162629320952595
LOC101250586,0.6161200965600101
LOC101255499,0.6158030909940464
LOC101254708,0.6157513785332939
LOC101267965,0.6157411136393555
LOC101245586,0.615573805146208
LOC101268560,0.6153983783618397
LOC101246032,0.6153672842521408
LOC101248456,0.6152087645999824
LOG6,0.6149916329938573
LOC101256078,0.6149535930007087
LOC101266880,0.614849126407551
